José Ortega y Gasset visited Husserl at Freiburg in 1934 .	1934 besuchte José Ortega y Gasset Husserl in Freiburg .	José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .	0.33
however , a disappointing ninth in China meant that he dropped back to sixth in the standings .	eine enttäuschende Neunte in China bedeutete jedoch , dass er in der Gesamtwertung auf den sechsten Platz zurückfiel .	ein enttäuschender neunter Platz in China bedeutete jedoch , dass er in der Gesamtwertung auf den sechsten Platz zurückfiel .	0.20
in his diary , Chase wrote that the release of Mason and Slidell " … was like gall and wormwood to me .	in seinem Tagebuch , Chase schrieb , dass die Veröffentlichung von Mason und Slidell " war wie Galle und Wermut für mich .	in seinem Tagebuch schrieb Chase , dass die Freilassung von Mason and Slidell „ ... wie Galle und Wermut für mich war .	0.30
Heavy arquebuses mounted on wagons were called arquebus à croc .	schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt .	schwere Arquebusen , die auf Wagen montiert waren , wurden „ Arquebus à croc " genannt .	0.47
once North Pacific salmon die off after spawning , usually local bald eagles eat salmon carcasses almost exclusively .	sobald der nordpazifische Lachs nach dem Laichen abstirbt , fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper .	sobald der nordpazifische Lachs nach dem Laichen abgestorben ist , fressen die örtlichen Weißkopfseeadler fast ausschließlich Lachsschlachtkörper .	0.44
they engaged in crossfire at Guamaní River Bridge , Coamo and Silva Heights and finally at the Battle of Asomante .	Sie verübten Kreuzfeuer an der Guamaní River Bridge , Coamo und Silva Heights und schließlich an der Schlacht von Asomante .	an der Guamaní River Bridge , in Coamo und Silva Heights und schließlich in der Schlacht von Asomante kam es zu einem Kreuzfeuer .	0.38
several WHA teams courted Gretzky , notably the Indianapolis Racers and the Birmingham Bulls .	mehrere WHA-Teams umworben Gretzky , insbesondere die Indianapolis Racers und die Birmingham Bulls .	mehrere WHA-Teams umwarben Gretzky , insbesondere die Indianapolis Racers und die Birmingham Bulls .	0.07
16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami 's quarterback .	16 Penn State , in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück .	16 Penn State , in dem der Redshirt-Neuling Jim Kelly in seiner ersten Karriere als Quarterback von Miami 280 Yards und drei Touchdowns geworfen hat .	0.42
on 12 April 1983 , the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark .	am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City .	am 12. April 1983 ernannte die Landmark Preservation Commission das 69. Regiment als offizielles Wahrzeichen von New York City .	0.25
after that , Chinese junks came to northern Borneo with cargoes of spices , bird nests , shark fins , camphor , rattan and pearls .	danach kamen chinesische Junks mit Gewürzen , Vogelnestern , Haiflossen , Kampfer , Rattan und Perlen in den Norden von Borneo .	danach kamen chinesische Dschunken mit Gewürzen , Vogelnestern , Haifischflossen , Kampfer , Rattan und Perlen nach Nordborneo .	0.37
Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers ' 2009 film G.I .	Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009	Sienna Miller porträtiert die Baronin als einen der Hauptgegner von Stephen Sommers ' 2009 Film GI	0.56
the Roundhead besiegers made an effort to raise a new fort on Wall 's furlong , but after some fighting with the Cavaliers they failed .	die roundhead Belagerer bemühten sich , eine neue Festung auf Wall ' s Furlong zu erheben , aber nach einigen Kämpfen mit den Cavaliers scheiterten sie .	die Belagerer von roundhead bemühten sich , eine neue Festung auf Wall ' s Furlong zu errichten , aber nach einigen Kämpfen mit den Cavaliers scheiterten sie .	0.11
when legendary wrestler Jake Roberts advised Orton not to underestimate The Undertaker , Orton performed an RKO on Roberts as well .	als der legendäre Wrestler Jake Roberts Orton riet , The Undertaker nicht zu unterschätzen , führte Orton ebenfalls einen RKO auf Roberts durch .	als der legendäre Wrestler Jake Roberts Orton riet , The Undertaker nicht zu unterschätzen , führte Orton auch bei Roberts eine RKO durch .	0.21
meanwhile , US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter .	unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel , um Verteidiger im Pusan Perimeter zu stärken .	unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Material , um die Verteidiger im Umkreis von Pusan zu verstärken .	0.30
the cover depicted a photograph of The Huxtables with a cracked frame , symbolizing the show 's damaged and complicated legacy .	das Cover zeigt ein Foto von The Huxtable mit einem geknackten Rahmen , das das beschädigte und komplizierte Erbe der Serie symbolisiert .	das Cover zeigte ein Foto von The Huxtables mit einem rissigen Rahmen als Symbol für das beschädigte und komplizierte Vermächtnis der Serie .	0.35
the use of furrow Widener or a longer mouldboard on the rear body will overcome the problem .	die Verwendung von Furchenwischer oder ein längeres Mouldboard auf der Rückseite Körper wird das Problem zu überwinden .	die Verwendung einer Furchenverbreiterung oder eines längeren Streichblechs am Heckkörper löst das Problem .	0.86
differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field .	Unterschiede in der Dimensionalität von Phonen und Erregungen bewirken , dass sich die obere Ebene in viele Zustände des Phonon-Feldes verwandelt .	Unterschiede in den Dimensionen von Phononen und Exzitonen bewirken , dass sich die obere Ebene in viele Zustände des Phononenfelds verwandelt .	0.23
their lustre tarnishes rapidly in air due to oxidation .	durch Oxidation trübt ihr Glanz schnell in der Luft .	ihr Glanz verfärbt sich an der Luft schnell durch Oxidation	0.60
" Renaissance Humanism and the Future of the Humanities . "	" Renaissance Humanism and the Future of the Humanities " .	" Renaissance-Humanismus und die Zukunft der Geisteswissenschaften . "	1.00
they bundled him into a field and " tarred and feathered " him .	Sie bündelten ihn in ein Feld und " tarred und gefiedert " ihn .	Sie banden ihn auf einem Feld zusammen und " teerten und federten " ihn .	0.40
he ruled oppressively and nearly bankrupted Mali with his lavish spending .	er regierte unterdrückerisch und fast bankrott Mali mit seinen verschwenderischen Ausgaben .	er herrschte unterdrückerisch und machte Mali mit seinen verschwenderischen Ausgaben fast bankrott .	0.23
as a final disastrous coda to the expedition , Thucydides mentions the fate of a squadron of fifty triremes sent to relieve the Siege of Prosopitis .	als letzte katastrophale Coda zur Expedition erwähnt Thucydides das Schicksal einer Staffel von fünfzig Triremen , die zur Linderung der Belagerung der Prosopitis geschickt wurden .	als letzte katastrophale Coda der Expedition erwähnt Thukydides das Schicksal eines Geschwaders von fünfzig Triremen , die geschickt wurden , um die Belagerung von Prosopitis zu entlasten .	0.39
